scenario,parameter,true,fitted,rel_error_pct
dosegrid_total_2arm_d10,psi,300.0,302.496760219219,0.8322534064063424
dosegrid_total_2arm_d10,omega,0.135,0.13474255765901902,-0.19069803035628893
dosegrid_total_2arm_d10,k,1.1,1.1113037988100676,1.027618073642499
dosegrid_total_2arm_d10,initial_volume,0.03,0.030252907375633055,0.8430245854435202
dosegrid_total_4arm_d10,psi,300.0,297.47086317898703,-0.843045607004323
dosegrid_total_4arm_d10,omega,0.135,0.13561528927178504,0.45576983095187407
dosegrid_total_4arm_d10,k,1.1,1.0851071864442907,-1.3538921414281246
dosegrid_total_4arm_d10,initial_volume,0.03,0.030447626516758537,1.4920883891951278
dosegrid_total_fulldose_ladder,psi,300.0,299.4043006445318,-0.19856645182272814
dosegrid_total_fulldose_ladder,omega,0.135,0.13458477278336248,-0.3075757160278011
dosegrid_total_fulldose_ladder,k,1.1,1.1007017883623258,0.06379894202960963
dosegrid_total_fulldose_ladder,initial_volume,0.03,0.029780011941086267,-0.7332935297124412
dosegrid_total_partialdose_ladder,psi,300.0,299.8554072539116,-0.04819758202946408
dosegrid_total_partialdose_ladder,omega,0.135,0.1348987404897919,-0.07500704459860606
dosegrid_total_partialdose_ladder,k,1.1,1.0979948453431987,-0.18228678698194545
dosegrid_total_partialdose_ladder,initial_volume,0.03,0.030256694219148644,0.8556473971621514
dosegrid_total_dose_coverage_grid,psi,300.0,291.95931740190315,-2.68022753269895
dosegrid_total_dose_coverage_grid,omega,0.135,0.13362327745039668,-1.0197944811876531
dosegrid_total_dose_coverage_grid,k,1.1,1.081080102515877,-1.7199906803748317
dosegrid_total_dose_coverage_grid,initial_volume,0.03,0.029472348191694107,-1.7588393610196382
dosegrid_total_plus_immune_grid,psi,300.0,301.4290499340373,0.476349978012441
dosegrid_total_plus_immune_grid,omega,0.135,0.13453060603847217,-0.3476992307613644
dosegrid_total_plus_immune_grid,k,1.1,1.1030579865352619,0.27799877593289013
dosegrid_total_plus_immune_grid,initial_volume,0.03,0.029956060403624432,-0.14646532125188924
