scenario,parameter,true,fitted,rel_error_pct
total_2arm,psi,300.0,302.496760219219,0.8322534064063424
total_2arm,omega,0.135,0.13474255765901902,-0.19069803035628893
total_2arm,k,1.1,1.1113037988100676,1.027618073642499
total_2arm,initial_volume,0.03,0.030252907375633055,0.8430245854435202
total_plus_immune_2arm,psi,300.0,294.97850510262816,-1.6738316324572793
total_plus_immune_2arm,omega,0.135,0.1345608390286912,-0.3253044231917075
total_plus_immune_2arm,k,1.1,1.0824460443089026,-1.5958141537361383
total_plus_immune_2arm,initial_volume,0.03,0.029973706925041504,-0.08764358319498142
total_plus_lymph_2arm,psi,300.0,299.22482172329285,-0.25839275890238395
total_plus_lymph_2arm,omega,0.135,0.13423313305421397,-0.568049589471139
total_plus_lymph_2arm,k,1.1,1.1041871848292049,0.38065316629134277
total_plus_lymph_2arm,initial_volume,0.03,0.029817632564483568,-0.6078914517214373
total_plus_trigger_2arm,psi,300.0,299.280888422853,-0.2397038590489918
total_plus_trigger_2arm,omega,0.135,0.13429678011345844,-0.5209036196604202
total_plus_trigger_2arm,k,1.1,1.0972335089395087,-0.25149918731740245
total_plus_trigger_2arm,initial_volume,0.03,0.03037595723793604,1.2531907931201403
total_4arm,psi,300.0,293.7251033396015,-2.091632220132832
total_4arm,omega,0.135,0.13387477761591432,-0.8334980622856955
total_4arm,k,1.1,1.0811294708918004,-1.7155026461999672
total_4arm,initial_volume,0.03,0.029982214609546955,-0.05928463484348075
