scenario,parameter,true,fitted,rel_error_pct
startvol_partial_pair_d10,psi,300.0,290.58315972929574,-3.1389467569014187
startvol_partial_pair_d10,omega,0.135,0.11456978108249376,-15.133495494449075
startvol_partial_pair_d10,k,1.1,1.2458478683768988,13.258897125172606
startvol_partial_pair_d10,initial_volume,0.03,0.0304366908782703,1.4556362609010007
startvol_full_pair_d10,psi,300.0,292.71204943836386,-2.429316853878712
startvol_full_pair_d10,omega,0.135,0.12297583761692016,-8.906786950429519
startvol_full_pair_d10,k,1.1,1.1374549804688938,3.404998224444884
startvol_full_pair_d10,initial_volume,0.03,0.035489860848597767,18.29953616199256
startvol_mixed_4arm_d10,psi,300.0,318.5632337920256,6.187744597341862
startvol_mixed_4arm_d10,omega,0.135,0.12053741628194174,-10.713024976339456
startvol_mixed_4arm_d10,k,1.1,1.289983885760447,17.27126234185882
startvol_mixed_4arm_d10,initial_volume,0.03,0.03389914583117915,12.997152770597177
startvol_mixed_4arm_plus_immune,psi,300.0,333.6331428412052,11.211047613735067
startvol_mixed_4arm_plus_immune,omega,0.135,0.12492554507888746,-7.4625592008241055
startvol_mixed_4arm_plus_immune,k,1.1,1.2866186353889708,16.965330489906428
startvol_mixed_4arm_plus_immune,initial_volume,0.03,0.03766688541759341,25.556284725311368
