parameter,fixed_value,cost,delta_cost,fit_psi,fit_omega,fit_k,fit_initial_volume
psi,198.4375981963184,1.9369222144761726,1.848894018130713,198.4375981963184,0.15781274150071412,1.0719573068541897,0.030514477500672498
psi,219.80780107899884,1.1660081591214722,1.0779799627760125,219.80780107899884,0.15254619544409495,1.0799871119126825,0.03041274911701574
psi,241.17800396167928,0.644105022607,0.5560768262615402,241.17800396167928,0.14793638541759732,1.087205453707713,0.030301681837857423
psi,262.5482068443597,0.3159565037512749,0.22792830740581513,262.5482068443597,0.1438834129415634,1.0936668993536391,0.03018952677562567
psi,283.91840972704017,0.14083426386337758,0.05280606751791783,283.91840972704017,0.14030879296564444,1.0994199564455498,0.030082311921335925
psi,305.28861260972064,0.08802819634555922,9.947598300641403e-14,305.28861260972064,0.13715023887748132,1.1045154823340009,0.029984618416589382
psi,326.65881549240106,0.13392810846768136,0.04589991212222161,326.65881549240106,0.13435783436173893,1.109007149719915,0.0298999988760351
psi,348.0290183750815,0.2600708820312572,0.17204268568579748,348.0290183750815,0.13189162960332604,1.1129524367059005,0.029831348144826967
psi,369.39922125776195,0.4517972956558578,0.363769099310398,369.39922125776195,0.12971968583917998,1.1164114479862026,0.02978110841847147
psi,390.7694241404424,0.6973068731057529,0.6092786767602931,390.7694241404424,0.12781659636606058,1.119445302247855,0.02975141166251552
psi,412.13962702312284,0.9869801952390601,0.8989519988936003,412.13962702312284,0.1261621884902487,1.1221145804474668,0.02974413605973674
omega,0.08914765138223614,3.8478821056989143,3.7598539093534544,407.09299594245346,0.08914765138223614,0.7944651524017781,0.026543620843424248
omega,0.09874816768493849,2.2520583204104576,2.1640301240649977,378.5930435749814,0.09874816768493849,0.8658597157536622,0.027217048679040574
omega,0.10834868398764085,1.1898519796309206,1.101823783285461,355.06816232165113,0.10834868398764085,0.9332533866287877,0.027890461887713432
omega,0.1179492002903432,0.5336125279248634,0.4455843315794036,335.4624710593402,0.1179492002903432,0.9960021469443422,0.028571703218080308
omega,0.12754971659304556,0.1898199999713129,0.10179180362585316,319.0408983709978,0.12754971659304556,1.0533577000971743,0.029267707865747533
omega,0.1371502328957479,0.08802819634550488,4.5130565951012613e-14,305.288611793855,0.1371502328957479,1.1045154437567226,0.029984617031505293
omega,0.14675074919845027,0.17385000399602085,0.0858218076505611,293.84491446917616,0.14675074919845027,1.1486708614327124,0.0307276414314506
omega,0.15635126550115264,0.4044022703279746,0.3163740739825148,284.45817814918877,0.15635126550115264,1.1851370889718182,0.031500559191326216
omega,0.16595178180385498,0.7453387614764413,0.6573105651309815,276.9468998615382,0.16595178180385498,1.213517368510782,0.032304761174669516
omega,0.17555229810655731,1.1689655772004874,1.0809373808550278,271.16002127454965,0.17555229810655731,1.2338750950924784,0.03313809385477516
omega,0.18515281440925968,1.6530986683372761,1.5650704719918165,266.93633884251096,0.18515281440925968,1.2468588429015126,0.03399380616845004
k,0.7179350707315783,1.8326741342470074,1.7446459379015478,294.76773188155414,0.12431221737531807,0.7179350707315783,0.031568925465218924
k,0.795251155271902,1.1169266097230246,1.028898413377565,297.4727097969762,0.12637593614347076,0.795251155271902,0.03123231197739635
k,0.872567239812226,0.6250580323981996,0.5370298360527398,299.8979988545781,0.12871101348219363,0.872567239812226,0.03090376171671515
k,0.9498833243525497,0.3107729335858023,0.22274473724034258,302.0146762411382,0.1312998145921518,0.9498833243525497,0.030585191652855823
k,1.0271994088928735,0.14024574723124106,0.05221755088578131,303.81064318697804,0.13412081352660915,1.0271994088928735,0.030278336668186044
k,1.1045154934331973,0.08802819634546682,7.077671781985373e-15,305.28861708476427,0.13715022939248894,1.1045154934331973,0.029984616772395806
k,1.1818315779735211,0.13447593616905928,0.04644773982359954,306.46286600864596,0.14036360494798727,1.1818315779735211,0.029705064336906832
k,1.2591476625138451,0.26408157443174973,0.17605337808628999,307.35564762709134,0.14373701692360438,1.2591476625138451,0.029440306483853946
k,1.336463747054169,0.46436579144032564,0.37633759509486586,307.99395955791806,0.14724790665943338,1.336463747054169,0.029190592555794533
k,1.4137798315944927,0.7251211882898287,0.637092991944369,308.40686918280124,0.15087558968459597,1.4137798315944927,0.028955850459674047
k,1.4910959161348165,1.0378841389681561,0.9498559426226963,308.6235384578734,0.15460150656767915,1.4910959161348165,0.02873575544594635
initial_volume,0.01949000094660749,3.397324050568172,3.309295854222712,315.02108515825415,0.12343362898518212,1.2256130524057909,0.01949000094660749
initial_volume,0.021588924125472912,2.0008361365561464,1.9128079402106868,313.6599291963119,0.12605556650786234,1.1969455586397457,0.021588924125472912
initial_volume,0.023687847304338334,1.0648665888093651,0.9768383924639054,311.56787906741886,0.12871156991116617,1.1699287325369652,0.023687847304338334
initial_volume,0.025786770483203755,0.48400135948098066,0.3959731631355209,309.26645165524366,0.13142831126877114,1.1454346223439995,0.025786770483203755
initial_volume,0.02788569366206918,0.17869202610258045,0.0906638297571207,307.09984923639905,0.13423349448964794,1.1236644570547936,0.02788569366206918
initial_volume,0.0299846168409346,0.08802819634570432,2.4456825453711417e-13,305.2886259911027,0.13715022760567966,1.1045156041064348,0.0299846168409346
initial_volume,0.03208354001980002,0.16493844119171763,0.07691024484625789,303.96460871704124,0.1401950547676845,1.0877547450969056,0.03208354001980002
initial_volume,0.03418246319866544,0.3728701606743301,0.2848419643288703,303.19024902202955,0.1433766483348933,1.0730996094084158,0.03418246319866544
initial_volume,0.036281386377530866,0.6834270122574493,0.5953988159119895,302.9679388516899,0.14669467044437312,1.0602567320449183,0.036281386377530866
initial_volume,0.03838030955639629,1.0746312212983553,0.9866030249528955,303.246887631419,0.1501391205021762,1.048943342691435,0.03838030955639629
initial_volume,0.04047923273526171,1.5295805806925036,1.441552384347044,303.9339446325498,0.15369115831107547,1.0389023450675217,0.04047923273526171
