parameter,coverage,relative_day,log_sensitivity,abs_log_sensitivity
psi,0.5,0,0.0,0.0
psi,0.5,3,-0.009421738801043805,0.009421738801043805
psi,0.5,6,-0.0634578645953423,0.0634578645953423
psi,0.5,9,-0.14647613653230782,0.14647613653230782
psi,0.5,12,-0.25564910867680984,0.25564910867680984
psi,0.5,15,-0.36444173637891164,0.36444173637891164
psi,0.5,18,-0.43355940726857223,0.43355940726857223
psi,0.5,21,-0.4610783637168879,0.4610783637168879
psi,0.5,24,-0.4701406814542871,0.4701406814542871
psi,0.5,27,-0.4733869248125512,0.4733869248125512
psi,0.5,30,-0.47478364231023623,0.47478364231023623
psi,1.0,0,0.0,0.0
psi,1.0,3,-7.907423349028365e-09,7.907423349028365e-09
psi,1.0,6,-0.02161083574288859,0.02161083574288859
psi,1.0,9,-0.08321336188188622,0.08321336188188622
psi,1.0,12,-0.18444290894772894,0.18444290894772894
psi,1.0,15,-0.31841269572068104,0.31841269572068104
psi,1.0,18,-0.48127484825785755,0.48127484825785755
psi,1.0,21,-0.6723867941299184,0.6723867941299184
psi,1.0,24,-0.8938396075159001,0.8938396075159001
psi,1.0,27,-1.1494685906174895,1.1494685906174895
psi,1.0,30,-1.443150455116617,1.443150455116617
omega,0.5,0,-0.06644050054108662,0.06644050054108662
omega,0.5,3,-0.15392900184476055,0.15392900184476055
omega,0.5,6,-0.3585084261491954,0.3585084261491954
omega,0.5,9,-0.7100225191939606,0.7100225191939606
omega,0.5,12,-1.1458643276502287,1.1458643276502287
omega,0.5,15,-1.5336989846195763,1.5336989846195763
omega,0.5,18,-1.7537012461120574,1.7537012461120574
omega,0.5,21,-1.8335943395327978,1.8335943395327978
omega,0.5,24,-1.8572791087072615,1.8572791087072615
omega,0.5,27,-1.8648082077909427,1.8648082077909427
omega,0.5,30,-1.8677058329689964,1.8677058329689964
omega,1.0,0,-0.06644050054108662,0.06644050054108662
omega,1.0,3,-0.13280875610175627,0.13280875610175627
omega,1.0,6,-0.19452301973938302,0.19452301973938302
omega,1.0,9,-0.31620217673154,0.31620217673154
omega,1.0,12,-0.4959465638248792,0.4959465638248792
omega,1.0,15,-0.7186234675653256,0.7186234675653256
omega,1.0,18,-0.976453088199301,0.976453088199301
omega,1.0,21,-1.2678263996152204,1.2678263996152204
omega,1.0,24,-1.5956826486345959,1.5956826486345959
omega,1.0,27,-1.9656194061306942,1.9656194061306942
omega,1.0,30,-2.3834208081165267,2.3834208081165267
k,0.5,0,0.002600466177701676,0.002600466177701676
k,0.5,3,0.017808219766532334,0.017808219766532334
k,0.5,6,0.13664317821590852,0.13664317821590852
k,0.5,9,0.3779215053600925,0.3779215053600925
k,0.5,12,0.6801488962769705,0.6801488962769705
k,0.5,15,0.9408590477954194,0.9408590477954194
k,0.5,18,1.0782340640795054,1.0782340640795054
k,0.5,21,1.1223461434313757,1.1223461434313757
k,0.5,24,1.133788878623662,1.133788878623662
k,0.5,27,1.1370327221749659,1.1370327221749659
k,0.5,30,1.1381633802998121,1.1381633802998121
k,1.0,0,0.002600466177701676,0.002600466177701676
k,1.0,3,0.00942853544819555,0.00942853544819555
k,1.0,6,0.026678725283772436,0.026678725283772436
k,1.0,9,0.07759234254946479,0.07759234254946479
k,1.0,12,0.15290429131393965,0.15290429131393965
k,1.0,15,0.24210191350191299,0.24210191350191299
k,1.0,18,0.33966410529632873,0.33966410529632873
k,1.0,21,0.4434383371601382,0.4434383371601382
k,1.0,24,0.5532933127836237,0.5532933127836237
k,1.0,27,0.6700052274945395,0.6700052274945395
k,1.0,30,0.79423682214886,0.79423682214886
initial_volume,0.5,0,0.9378935077137903,0.9378935077137903
initial_volume,0.5,3,0.8757278951778176,0.8757278951778176
initial_volume,0.5,6,0.8690442293377285,0.8690442293377285
initial_volume,0.5,9,0.9197075888873634,0.9197075888873634
initial_volume,0.5,12,0.9886146197715866,0.9886146197715866
initial_volume,0.5,15,1.0389815285521375,1.0389815285521375
initial_volume,0.5,18,1.0556280176209882,1.0556280176209882
initial_volume,0.5,21,1.0562334477705133,1.0562334477705133
initial_volume,0.5,24,1.0548641053088097,1.0548641053088097
initial_volume,0.5,27,1.053981419433366,1.053981419433366
initial_volume,0.5,30,1.0534847262208487,1.0534847262208487
initial_volume,1.0,0,0.9378935077137903,0.9378935077137903
initial_volume,1.0,3,0.882898958306876,0.882898958306876
initial_volume,1.0,6,0.8499082818992549,0.8499082818992549
initial_volume,1.0,9,0.8130729555541629,0.8130729555541629
initial_volume,1.0,12,0.7589755278213975,0.7589755278213975
initial_volume,1.0,15,0.685329796708316,0.685329796708316
initial_volume,1.0,18,0.5908174513307688,0.5908174513307688
initial_volume,1.0,21,0.47354866734132856,0.47354866734132856
initial_volume,1.0,24,0.3304057680699718,0.3304057680699718
initial_volume,1.0,27,0.15704711978499752,0.15704711978499752
initial_volume,1.0,30,-0.051338410358012,0.051338410358012
